発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
1,17,21,59,1,1,14,7,3,9,1,0
12,28,17,42,2,4,1,1,15,9,30,1
1,6,19,30,2,2,14,7,2,9,1,1
1,6,11,41,5,2,14,7,2,9,1,0
1,25,6,4,1,1,7,7,3,9,1,0
12,18,12,54,1,1,1,7,14,9,30,1
12,30,17,40,1,1,1,7,14,9,30,1
12,15,21,14,1,1,1,1,19,9,30,1
1,8,15,52,1,1,1,1,15,9,30,1
1,14,12,7,1,1,14,7,2,9,1,0
1,29,10,11,1,1,1,7,15,8,30,0
1,18,7,20,1,1,1,7,15,9,30,0
1,9,20,0,1,1,14,7,6,8,1,1
1,10,17,48,2,3,13,7,5,3,1,1
1,12,7,38,1,1,1,7,12,9,30,0
1,7,9,0,1,3,14,7,3,7,1,0
1,8,14,15,1,1,14,7,2,9,1,1
1,3,11,25,5,4,11,7,4,8,1,1
12,25,18,0,1,1,1,7,14,9,30,1
12,16,6,55,1,1,7,1,1,9,1,0
1,24,13,24,1,1,13,7,3,4,1,1
1,4,14,5,1,1,14,7,3,9,1,0
6,1,15,15,1,1,14,2,4,9,1,1
1,7,21,12,1,3,14,7,3,9,1,1
1,16,13,40,1,1,0,7,0,0,20,1
1,25,11,17,2,1,0,7,0,0,20,1
1,19,18,40,1,1,14,7,5,9,1,0
1,19,13,58,1,1,1,7,14,9,30,1
1,12,6,5,1,1,1,1,19,9,30,0
1,7,17,45,1,1,1,7,15,9,30,0
12,3,19,2,1,1,14,1,4,9,1,1
12,30,17,53,1,1,14,7,6,9,1,1
1,5,12,45,5,4,7,1,6,9,1,1
1,5,17,50,1,1,14,7,3,9,1,1
12,21,19,35,1,1,1,1,12,9,30,0
12,30,11,30,1,1,7,1,5,9,1,1
12,29,12,15,2,4,14,7,4,9,1,1
12,25,10,33,1,1,1,7,12,9,30,1
1,18,8,58,1,1,1,7,11,9,30,0
11,26,17,50,1,1,14,7,2,9,1,1
1,1,13,52,1,1,14,7,5,9,1,0
1,18,10,30,1,1,14,7,2,9,1,1
1,7,5,30,1,3,1,1,15,3,30,1
1,18,17,30,1,1,1,7,12,9,30,0
