actual_target,predicted_target,発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点
1,0.4379896967035497,1,24,14,6,1,1,1,1,14,9,30
0,0.531438248588382,1,26,16,20,1,1,14,7,3,8,1
0,0.7287746446570004,12,6,12,22,2,1,1,1,15,9,30
0,0.3125921609432727,1,18,17,35,1,1,14,7,1,9,1
0,0.8238269241522508,12,28,10,35,5,4,14,7,2,8,1
0,0.32872815316445064,1,25,16,5,2,1,14,7,2,9,20
0,0.25636758462591425,1,10,10,35,1,1,1,7,14,9,30
1,0.27447082448929694,1,4,11,34,1,1,1,1,15,8,30
1,0.388427778784248,12,29,2,9,2,3,1,1,16,9,30
0,0.8871230304017043,12,30,23,35,5,4,13,7,3,6,1
1,0.8294266461911886,1,6,16,40,5,4,14,7,3,9,1
1,0.37030833297932947,1,8,16,40,1,1,7,1,1,9,1
1,0.5932812986990363,1,6,13,28,5,2,7,7,3,9,1
1,0.4387772453731133,1,27,23,5,1,1,7,1,4,9,1
0,0.2835420187262302,1,13,16,48,1,1,13,7,3,1,20
1,0.7866791894305549,1,20,15,0,1,1,1,1,15,9,30
0,0.251088802576442,1,27,8,44,1,1,1,1,15,9,30
0,0.41370734256808006,1,14,17,13,1,1,14,7,2,7,1
0,0.2825038948990071,1,17,19,34,1,1,13,7,3,3,1
1,0.28986767314943274,1,15,23,58,1,1,14,7,2,9,1
1,0.11354308711760211,1,5,10,28,1,1,1,7,15,9,30
1,0.6014993231721502,1,17,17,10,1,3,14,7,2,9,1
1,0.5835834474254179,12,26,7,36,1,1,1,1,16,9,30
1,0.8781623089759686,12,28,11,40,2,3,14,7,3,9,20
1,0.4518446929892712,1,13,17,6,2,1,14,7,3,7,1
1,0.9179099465875644,1,2,14,0,2,4,1,7,12,9,30
1,0.9851651452940579,1,3,13,45,1,3,7,1,5,9,1
1,0.6445281848531164,12,30,16,45,2,2,13,7,1,1,1
0,0.3982503979014176,1,18,13,50,1,1,14,7,3,9,1
1,0.9163875275836193,1,3,10,43,5,4,14,7,3,9,1
1,0.46936853749151136,1,10,7,35,2,1,1,7,14,2,30
1,0.5498478511189263,1,7,20,10,2,4,1,7,11,9,30
1,0.5667775474262522,1,10,18,5,1,1,14,7,3,9,1
0,0.5552988811197476,1,6,18,15,2,3,12,7,5,7,1
0,0.3944603620050491,1,20,11,0,1,1,14,7,3,9,20
1,0.9505139684136368,12,26,10,35,1,4,14,7,4,9,1
1,0.3741514035187916,1,21,13,43,5,2,1,7,12,9,30
1,0.47283523695585183,1,7,15,14,5,2,14,7,4,9,1
0,0.0706132539698897,1,8,8,40,1,1,1,7,11,9,30
1,0.5338061369146988,1,11,14,41,3,2,14,7,4,9,1
0,0.08289949948352185,1,15,14,58,1,1,1,7,12,9,30
1,0.7082173823748665,12,23,15,5,1,1,14,7,3,9,1
0,0.6207665684756567,1,14,2,5,1,1,14,7,3,9,1
0,0.8984484086992157,12,15,10,5,1,1,0,7,0,0,20
1,0.2916971385326428,1,11,8,9,3,2,1,2,14,9,30
0,0.8039776858700178,9,14,16,5,3,1,12,7,5,9,1
0,0.5855029235792576,1,6,7,48,1,3,7,1,4,9,1
1,0.1122598434907362,1,12,18,4,1,1,1,1,16,9,30
1,0.029502378775105337,1,19,11,50,1,1,1,1,11,9,30
1,0.4272305257830767,12,27,14,10,5,4,14,7,3,9,1
1,0.7406501601613981,12,23,14,45,1,1,14,7,4,9,1
0,0.7514736301262098,1,24,16,20,1,1,14,7,4,9,1
1,0.976556421723015,1,1,15,25,1,1,14,7,5,9,1
0,0.553505811915119,1,20,20,45,5,2,14,7,3,9,1
0,0.7277893679590816,1,9,19,25,1,1,1,4,14,9,30
0,0.13770951046608065,1,13,18,25,1,1,1,1,15,9,30
0,0.7614610264297421,1,21,18,20,1,1,14,7,4,8,1
1,0.5427402864317513,1,12,20,30,1,1,7,1,3,9,1
1,0.20385922744588333,1,31,7,20,1,1,1,1,12,9,30
1,0.5745754042825333,1,10,15,11,1,2,14,7,5,9,1
0,-0.036595663797943566,1,22,9,8,1,1,1,7,15,9,30
0,0.31652153138165484,12,15,18,25,1,1,1,1,16,9,30
1,0.9754201803732854,1,1,13,46,2,3,14,7,3,9,1
0,0.22589055606169925,1,22,7,10,1,1,14,7,3,9,20
0,0.7007525598410703,12,24,2,40,1,1,1,7,11,9,30
